,Game_no,End_board,Black_score,Winner,Move_record
0,Base_Game,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-33,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 38, 78, 68, 83, 36, 58, 52, 57, 41, 35, 26, 48, 34, 73, 82, 33, 32, 72, 62, 81, None, 61, None, 71, 63, 28, None, 27, None, 51, None, 21, 31, 22, 11, 23, 14, 12, 13, 24, 25, 16, None, 15, 17, None]"
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-30,Controller White,"[56, 66, 65, 46, 37, 75, 76, 64, 85, 86, 87, 77, 68, 88, 73, 84, 67, 36, 57, 62, 82, 28, 51, 78, 47, 63, 74, 83, 72, 38, 53, 58, 33, 34, 35, 43, 52, 42, 32, 81, 48, 71, 18, 26, 27, 25, 16, 24, 14, 23, 22, 15, None, 61, None, 41, None, 17, None, 13, 12, 31, 21, 11, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-12,Controller White,"[56, 66, 65, 64, 75, 46, 67, 68, 53, 52, 42, 32, 31, 62, 22, 86, 72, 51, 35, 43, 76, 63, 85, 84, 61, 71, 74, 87, 36, 21, 34, 41, 73, 12, 33, 81, 11, 13, 37, 83, 82, 23, 88, 47, 14, 24, 77, 78, 58, 57, 48, 26, 25, 15, 16, 17, 18, 38, 27, 28, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",10,Defender Black,"[65, 66, 67, 46, 35, 64, 63, 25, 56, 78, 33, 53, 68, 58, 47, 57, 48, 38, 52, 51, 41, 31, 42, 43, 34, 22, 32, 61, 62, 24, 36, 21, 37, 71, 72, 28, 14, 77, 88, 86, 18, 76, 26, 27, 16, 17, 15, 13, 23, 12, 11, 81, 87, 74, 75, 73, 85, 83, 82, 84, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-4,Controller White,"[65, 66, 67, 46, 36, 77, 87, 88, 47, 86, 64, 68, 33, 63, 76, 85, 74, 43, 72, 22, 56, 34, 42, 53, 78, 75, 58, 26, 62, 31, 41, 51, 27, 32, 25, 16, 14, 24, 11, 35, 23, 57, 52, 21, 37, 48, 61, 12, 38, 71, 13, 28, 81, 15, 73, 18, 17, 84, 83, 82, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-32,Controller White,"[43, 33, 34, 53, 66, 24, 63, 65, 52, 64, 35, 46, 36, 51, 47, 37, 41, 31, 56, 48, 75, 61, 42, 32, 38, 28, 27, 57, 26, 18, 62, 58, 25, 23, 17, 14, 16, 15, 67, 71, 21, 11, 12, 13, 22, 72, 73, 83, 82, 81, 74, 86, 84, 85, 76, 87, 77, 88, 78, 68, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-10,Controller White,"[43, 33, 34, 53, 66, 24, 63, 65, 52, 64, 35, 46, 26, 36, 74, 84, 85, 86, 75, 17, 56, 67, 47, 76, 77, 42, 58, 57, 73, 38, 37, 87, 41, 32, 62, 31, 27, 18, 21, 28, 25, 23, 16, 15, 22, 48, 13, 11, 68, 14, 12, 88, 78, 72, 82, 83, None, 81, 71, 51, 61, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-10,Controller White,"[34, 33, 43, 53, 66, 35, 42, 77, 65, 41, 88, 64, 73, 75, 84, 86, 22, 56, 62, 63, 51, 31, 21, 68, 74, 85, 76, 87, 52, 32, 78, 67, 58, 11, 26, 61, 57, 25, 71, 81, 12, 23, 13, 14, 47, 24, 46, 36, 37, 48, 38, 16, 15, 17, 18, 28, 72, 82, 83, None, 27, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', '.', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-51,Controller White,"[65, 66, 67, 77, 87, 88, 56, 86, 43, 68, 78, 57, 58, 48, 76, 46, 37, 35, 47, 36, 38, 28, 25, 26, 16, 74, 75, 84, 85, 64, 83, 53, 63, 73, 62, 72, 61, 52, 42, 82, None, 81, None, 71, None, 51, None, 27, None, 17, 18, 14, 34, 23, None, 31, 41, 32, 21, 15, 13, 11, 33, 24, None, 22, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '.', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-27,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 52, 63, 77, 67, 73, 62, 51, 28, 74, 61, 71, 85, 72, 88, 68, 82, 87, 78, 84, 83, 75, 58, 57, 81, 38, 36, 18, 76, 86, 48, 33, 41, 42, 32, 31, 21, 35, 23, 22, 12, 11, 13, 14, 43, 34, 24, 25, 15, 16, 26, 27, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",32,Defender Black,"[56, 66, 65, 64, 73, 57, 46, 63, 68, 47, 77, 76, 33, 43, 37, 38, 48, 82, 35, 58, 67, 28, 36, 78, 53, 52, 88, 87, 86, 85, 84, 75, 74, 83, 41, 51, 81, 62, 61, 27, 42, 26, 18, 31, 32, 71, 21, 22, 72, 34, 15, 25, 14, 16, 17, 24, 23, 13, 12, 11, None]"
